`AD32`	`20112012`	`Grove, Shannon L.`	`A`	`Grove`	`Shannon`	`Grove`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD40`	`20112012`	`Blumenfield, Bob`	`A`	`Blumenfield`	`Bob`	`Blumenfield`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD46`	`20112012`	`Pérez, John A.`	`A`	`John A. Pérez`	`John`	`Pérez`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD48`	`20112012`	`Davis, Mike`	`A`	`Davis`	`Mike`	`Davis`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD56`	`20112012`	`Mendoza, Tony`	`A`	`Mendoza`	`Tony`	`Mendoza`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD60`	`20112012`	`Hagman, Curt`	`A`	`Hagman`	`Curt`	`Hagman`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD66`	`20112012`	`Jeffries, Kevin D.`	`A`	`Jeffries`	`Kevin`	`Jeffries`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD67`	`20112012`	`Silva, Jim`	`A`	`Silva`	`Jim`	`Silva`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD71`	`20112012`	`Miller, Jeff`	`A`	`Miller`	`Jeff`	`Miller`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD72`	`20112012`	`Norby, Chris`	`A`	`Norby`	`Chris`	`Norby`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD79`	`20112012`	`Hueso, Ben`	`A`	`Hueso`	`Ben`	`Hueso`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD80`	`20112012`	`Pérez, V. Manuel`	`A`	`V. Manuel Pérez`	`V. Manuel`	`Pérez`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD08`	`20112012`	`Yamada, Mariko`	`A`	`Yamada`	`Mariko`	`Yamada`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD43`	`20112012`	`Gatto, Mike`	`A`	`Gatto`	`Mike`	`Gatto`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD01`	`20112012`	`Chesbro, Wesley`	`A`	`Chesbro`	`Wesley`	`Chesbro`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD04`	`20112012`	`Gaines, Beth`	`A`	`Beth Gaines`	`Beth`	`Gaines`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2011-05-11 10:01:42	`Y`
`AD02`	`20112012`	`Nielsen, Jim`	`A`	`Nielsen`	`Jim`	`Nielsen`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD13`	`20112012`	`Ammiano, Tom`	`A`	`Ammiano`	`Tom`	`Ammiano`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD16`	`20112012`	`Swanson, Sandré R.`	`A`	`Swanson`	`Sandré`	`Swanson`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD26`	`20112012`	`Berryhill, Bill`	`A`	`Bill Berryhill`	`Bill`	`Berryhill`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD27`	`20112012`	`Monning, William W.`	`A`	`Monning`	`William`	`Monning`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD34`	`20112012`	`Conway, Connie`	`A`	`Conway`	`Connie`	`Conway`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD41`	`20112012`	`Brownley, Julia`	`A`	`Brownley`	`Julia`	`Brownley`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD42`	`20112012`	`Feuer, Mike`	`A`	`Feuer`	`Mike`	`Feuer`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
